constellation,number_of_satellites,total_area_earth_km_sq,elevation_angle,altitude_km,satellite_centric_angle,earth_central_angle,signal_path_km,coverage_area_per_sat_sqkm,dl_frequency_hz,dl_bandwidth_hz,power_dbw,receiver_gain_db,earth_atmospheric_losses_db,all_other_losses_db,subscribers_low,subscribers_baseline,subscribers_high,subscriber_traffic_percent,satellite_coverage_area_km,percent_coverage,path_loss_db,losses_db,antenna_gain_db,eirp_db,noise_db,received_power_db,cnr_db,spectral_efficiency_bphz,channel_capacity_mbps,capacity_per_single_satellite_mbps,constellation_capacity_mbps,cnr_scenario
Starlink,4425,510000000,29,547,53.661879681301706,7.338120318698287,1011.2878,2093387.2143,12231253653,250000000.0,30,27,3,0.53,2500000,3500000,4500000,20,115254.2373,67,174.2869,3.53,32.7194,62.7194,-89.9978,-88.0975,1.9003,0.889135,222.2837,10669.62,31632748.7796,baseline
Starlink,4425,510000000,25,547,56.58661979318359,8.413380206816413,1117.9699,2750642.5789,11159386594,250000000.0,30,31,15,0.53,2500000,3500000,4500000,20,115254.2373,67,174.3614,15.53,31.3454,61.3454,-89.9978,-97.546,-7.5482,0.434841,108.7103,5218.092,15470345.3724,low
Starlink,4425,510000000,36,539,48.242928887378554,5.757071112621446,857.646,1289173.5939,11808528776,250000000.0,30,34,11,0.53,2500000,3500000,4500000,20,115254.2373,67,172.5501,11.53,32.2104,62.2104,-89.9978,-87.8697,2.1281,1.088581,272.1452,13062.972,38728439.1216,baseline
Starlink,4425,510000000,30,546,52.914254256715566,7.085745743284434,986.2381,1952051.098,12641711534,250000000.0,30,27,14,0.53,2500000,3500000,4500000,20,115254.2373,67,174.3558,14.53,32.9655,62.9655,-89.9978,-98.9203,-8.9225,0.434841,108.7103,5218.092,15470345.3724,low
Starlink,4425,510000000,30,546,52.914254256715566,7.085745743284434,986.2381,1952051.098,11427338008,250000000.0,30,29,3,0.53,2500000,3500000,4500000,20,115254.2373,67,173.4785,3.53,31.9546,61.9546,-89.9978,-86.0539,3.9439,1.088581,272.1452,13062.972,38728439.1216,baseline
Starlink,4425,510000000,30,545,52.92520433213218,7.074795667867818,984.5795,1946030.1522,11708586323,250000000.0,30,30,17,0.53,2500000,3500000,4500000,20,115254.2373,67,173.6751,17.53,32.1998,62.1998,-89.9978,-99.0053,-9.0075,0.434841,108.7103,5218.092,15470345.3724,low
Starlink,4425,510000000,37,549,47.33591811428094,5.664081885719057,856.0436,1247897.6601,11020506840,250000000.0,30,32,6,0.53,2500000,3500000,4500000,20,115254.2373,67,171.9339,6.53,31.1157,61.1157,-89.9978,-85.3482,4.6496,1.088581,272.1452,13062.972,38728439.1216,baseline
Starlink,4425,510000000,35,539,49.05338021356757,5.9466197864324215,874.8243,1375384.4036,11833586625,250000000.0,30,33,4,0.53,2500000,3500000,4500000,20,115254.2373,67,172.7407,4.53,32.7147,62.7147,-89.9978,-81.556,8.4418,1.972253,493.0632,23667.036,70166837.8656,high
Starlink,4425,510000000,26,550,55.836715685040396,8.163284314959611,1094.5098,2589814.7286,10974024012,250000000.0,30,27,13,0.53,2500000,3500000,4500000,20,115254.2373,67,174.0317,13.53,31.5406,61.5406,-89.9978,-99.0211,-9.0233,0.434841,108.7103,5218.092,15470345.3724,low
Starlink,4425,510000000,40,549,44.85633349711911,5.14366650288089,810.6957,1029265.8077,12491629469,250000000.0,30,28,4,0.53,2500000,3500000,4500000,20,115254.2373,67,172.5495,4.53,33.2311,63.2311,-89.9978,-85.8484,4.1494,1.088581,272.1452,13062.972,38728439.1216,baseline
Starlink,4425,510000000,39,551,45.67161564306719,5.3283843569328155,827.9702,1104464.3471,11618585207,250000000.0,30,29,6,0.53,2500000,3500000,4500000,20,115254.2373,67,172.1034,6.53,32.3993,62.3993,-89.9978,-87.2341,2.7637,1.088581,272.1452,13062.972,38728439.1216,baseline
Starlink,4425,510000000,31,545,52.156404902459755,6.843595097540245,962.4036,1821066.7315,12162077154,250000000.0,30,29,14,0.53,2500000,3500000,4500000,20,115254.2373,67,173.8073,14.53,32.1758,62.1758,-89.9978,-97.1615,-7.1637,0.434841,108.7103,5218.092,15470345.3724,low
Starlink,4425,510000000,40,547,44.87280059254442,5.127199407455578,807.874,1022690.5004,12173407270,250000000.0,30,30,4,0.53,2500000,3500000,4500000,20,115254.2373,67,172.2951,4.53,32.5552,62.5552,-89.9978,-84.2699,5.7279,1.088581,272.1452,13062.972,38728439.1216,baseline
Starlink,4425,510000000,29,550,53.62816477909899,7.371835220901005,1016.3487,2112640.8827,12533441298,250000000.0,30,28,14,0.53,2500000,3500000,4500000,20,115254.2373,67,174.5423,14.53,32.7182,62.7182,-89.9978,-98.3541,-8.3563,0.434841,108.7103,5218.092,15470345.3724,low
Starlink,4425,510000000,25,542,56.649424490653615,8.350575509346385,1108.8825,2709801.9861,11675304959,250000000.0,30,29,13,0.53,2500000,3500000,4500000,20,115254.2373,67,174.6831,13.53,32.0195,62.0195,-89.9978,-97.1936,-7.1958,0.434841,108.7103,5218.092,15470345.3724,low
