constellation,subscribers_low,subscribers_baseline,subscribers_high,capex_costs,opex_costs,total_cost_ownership,assessment_period_year,capex_scenario,opex_scenario
Starlink,2500000,3500000,4500000,1959070850.0,381430500,3678620850.4717016,5,High,Low
Starlink,2500000,3500000,4500000,1959070850.0,381435500,3678642786.527984,5,High,Low
Starlink,2500000,3500000,4500000,1959070850.0,381440500,3678664722.5842667,5,High,Low
Starlink,2500000,3500000,4500000,2401570850.0,381430500,4121120850.4717016,5,High,Low
Starlink,2500000,3500000,4500000,2401570850.0,381435500,4121142786.527984,5,High,Low
Starlink,2500000,3500000,4500000,2401570850.0,381440500,4121164722.5842667,5,High,Low
Starlink,2500000,3500000,4500000,2844070850.0,381430500,4563620850.471702,5,High,Low
Starlink,2500000,3500000,4500000,2844070850.0,381435500,4563642786.527985,5,High,Low
Starlink,2500000,3500000,4500000,2844070850.0,381440500,4563664722.584267,5,High,Low
Starlink,2500000,3500000,4500000,1959070850.0,431430500,3897981413.294898,5,High,Low
Starlink,2500000,3500000,4500000,1959070850.0,431435500,3898003349.3511806,5,High,Low
Starlink,2500000,3500000,4500000,1959070850.0,431440500,3898025285.4074626,5,High,Low
Starlink,2500000,3500000,4500000,2401570850.0,431430500,4340481413.294898,5,High,Low
Starlink,2500000,3500000,4500000,2401570850.0,431435500,4340503349.351181,5,High,Low
Starlink,2500000,3500000,4500000,2401570850.0,431440500,4340525285.407463,5,High,Low
Starlink,2500000,3500000,4500000,2844070850.0,431430500,4782981413.294898,5,High,Low
Starlink,2500000,3500000,4500000,2844070850.0,431435500,4783003349.351181,5,High,Low
Starlink,2500000,3500000,4500000,2844070850.0,431440500,4783025285.407463,5,High,Low
Starlink,2500000,3500000,4500000,1959070850.0,481430500,4117341976.1180944,5,High,Low
Starlink,2500000,3500000,4500000,1959070850.0,481435500,4117363912.1743765,5,High,Low
Starlink,2500000,3500000,4500000,1959070850.0,481440500,4117385848.230659,5,High,Low
Starlink,2500000,3500000,4500000,2401570850.0,481430500,4559841976.118094,5,High,Low
Starlink,2500000,3500000,4500000,2401570850.0,481435500,4559863912.1743765,5,High,Low
Starlink,2500000,3500000,4500000,2401570850.0,481440500,4559885848.2306595,5,High,Low
Starlink,2500000,3500000,4500000,2844070850.0,481430500,5002341976.118094,5,High,Low
Starlink,2500000,3500000,4500000,2844070850.0,481435500,5002363912.1743765,5,High,Low
Starlink,2500000,3500000,4500000,2844070850.0,481440500,5002385848.2306595,5,High,Low
Starlink,2500000,3500000,4500000,1959070850.0,381530500,3679059571.597348,5,High,Baseline
