constellation,no_of_satellites,no_of_launches,climate_change_baseline_kg,climate_change_worst_case_kg,ozone_depletion_baseline_kg,ozone_depletion_worst_case_kg,resource_depletion_kg,freshwater_toxicity_m3,human_toxicity,subscribers,subscriber_scenario,impact_category,rocket_detailed,scenario,status,representative_of,rocket_type,annual_baseline_emission_kg,annual_worst_case_emission_kg
oneweb,394,14,45126626.762,45126626.762,4.029880414,4.029880414,2236.8597720000002,297776364.76,19.593739746,500000,subscribers_low,propellant_scheduling,soyuz,scenario1,Historical,Modeled,hydrocarbon,9025325.352400001,9025325.352400001
oneweb,180,5,27974954.585,27974954.585,2.497115075,2.497115075,1388.7848255,184745068.45,12.15963492,500000,subscribers_low,propellant_scheduling,falcon9,scenario1,Historical,Modeled,hydrocarbon,5594990.917,5594990.917
oneweb,72,2,17968550.672,17968550.672,1.507855192,1.507855192,1020.4042362,123876848.06,8.36221676,500000,subscribers_low,propellant_scheduling,lvm3_hydrogen,scenario1,Historical,Representative,hydrogen,3593710.1344,3593710.1344
kuiper,648,18,161716956.04799998,161716956.04799998,13.570696728000001,13.570696728000001,9183.6381258,1114891632.54,75.25995084,1500000,subscribers_low,propellant_scheduling,ariane_6_hydrogen,scenario1,scenario,Representative,hydrogen,32343391.209599994,32343391.209599994
kuiper,972,27,119047338.9,119047338.9,10.628166816,10.628166816,5906.6909505,1672337448.81,51.724977597,1500000,subscribers_low,propellant_scheduling,glenn_hydrocarbon,scenario1,scenario,Representative,hydrocarbon,23809467.78,23809467.78
kuiper,1368,38,167548106.6,167548106.6,14.958160703999999,14.958160703999999,8313.120597000001,2353660113.14,72.798116618,1500000,subscribers_low,propellant_scheduling,vulcan_hydrocarbon,scenario1,scenario,Representative,hydrocarbon,33509621.32,33509621.32
kuiper,108,3,16784972.751000002,16784972.751000002,1.498269045,1.498269045,833.2708953,110847041.07,7.295780951999999,1500000,subscribers_low,propellant_scheduling,falcon9,scenario1,scenario,Representative,hydrocarbon,3356994.5502000004,3356994.5502000004
kuiper,72,2,8818321.4,8818321.4,0.787271616,0.787271616,437.532663,123876848.06,3.831479822,1500000,subscribers_low,propellant_scheduling,unknown_hydrocarbon,scenario1,scenario,Representative,hydrocarbon,1763664.28,1763664.28
kuiper,72,2,17968550.672,17968550.672,1.507855192,1.507855192,1020.4042362,123876848.06,8.36221676,1500000,subscribers_low,propellant_scheduling,unknown_hydrogen,scenario1,scenario,Representative,hydrogen,3593710.1344,3593710.1344
geo_generic,10,10,44091607.0,44091607.0,3.9363580799999998,3.9363580799999998,2187.6633150000002,619384240.3,19.15739911,1500000,subscribers_low,propellant_scheduling,unknown_hydrocarbon,scenario1,scenario,Representative,hydrocarbon,2939440.466666667,2939440.466666667
geo_generic,9,9,80858478.02399999,80858478.02399999,6.785348364000001,6.785348364000001,4591.8190629,557445816.27,37.62997542,1500000,subscribers_low,propellant_scheduling,unknown_hydrogen,scenario1,scenario,Representative,hydrogen,5390565.201599999,5390565.201599999
starlink,4425,192,1724980864.5119998,1724980864.5119998,144.754098432,144.754098432,97958.8066752,11892177413.76,802.77280896,2500000,subscribers_low,propellant_scheduling,unknown_hyg,scenario2,scenario,Representative,hydrocarbon,344996172.90239996,344996172.90239996
